BASELINES-CITATION RATES,,,,,,,,,,,,
RESEARCH FIELDS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ALL YEARS
 ALL FIELDS,24.79,23.16,21.39,18.8,16.43,13.94,11.45,8.64,5.56,2.63,0.53,12.61
AGRICULTURAL SCIENCES,17.84,16.47,15.39,13.48,11.84,10.16,8.45,6.37,4.15,1.82,0.36,9.08
BIOLOGY & BIOCHEMISTRY,34.44,33.06,29.25,25.22,22.04,18.21,14.56,10.55,6.71,3.17,0.64,17.27
CHEMISTRY,26.31,24.53,23.38,21.61,19.93,16.92,14.61,11.4,7.5,3.7,0.68,14.9
CLINICAL MEDICINE,26.37,24.72,22.23,19.44,16.91,14.27,11.51,8.7,5.45,2.46,0.49,13.19
COMPUTER SCIENCE,13.41,12.31,11.48,11.12,9.0,8.18,7.1,5.69,3.72,1.84,0.45,6.94
ECONOMICS & BUSINESS,19.11,17.39,15.58,13.3,10.7,8.85,6.81,4.77,2.83,1.24,0.29,8.67
ENGINEERING,14.23,14.5,13.66,12.33,10.85,9.74,8.23,6.5,4.45,2.25,0.48,7.98
ENVIRONMENT/ECOLOGY,30.94,27.26,25.29,21.71,19.11,15.57,12.41,9.18,5.74,2.62,0.52,13.26
GEOSCIENCES,26.52,25.28,22.37,20.38,17.25,14.54,11.43,8.47,5.26,2.45,0.52,12.85
IMMUNOLOGY,39.77,36.77,32.82,28.52,23.66,20.51,16.57,11.96,7.74,3.56,0.69,19.35
MATERIALS SCIENCE,24.01,23.6,24.5,22.02,20.22,17.51,15.45,11.99,8.16,4.03,0.7,14.1
MATHEMATICS,9.34,8.54,7.88,6.61,5.45,4.44,3.59,2.8,1.79,0.87,0.22,4.51
MICROBIOLOGY,31.96,29.86,27.48,22.31,19.22,16.78,13.74,9.99,6.71,2.99,0.49,15.63
MOLECULAR BIOLOGY & GENETICS,52.78,49.06,44.09,38.47,31.37,26.34,20.46,14.66,8.86,3.99,0.74,24.41
MULTIDISCIPLINARY,32.03,35.74,33.13,28.07,21.88,22.96,13.88,10.2,6.65,2.79,0.41,15.87
NEUROSCIENCE & BEHAVIOR,37.61,35.1,31.73,27.4,23.23,19.2,15.16,11.03,7.0,3.16,0.63,18.51
PHARMACOLOGY & TOXICOLOGY,27.1,24.29,22.38,19.01,16.68,14.4,11.62,8.6,5.46,2.64,0.52,13.09
PHYSICS,19.49,18.39,17.14,15.2,14.29,12.07,10.28,8.13,5.58,2.78,0.6,11.27
PLANT & ANIMAL SCIENCE,19.04,17.78,16.4,14.06,11.91,10.17,8.17,5.96,3.76,1.66,0.35,9.6
PSYCHIATRY/PSYCHOLOGY,29.42,25.89,23.39,19.76,16.1,13.06,10.19,7.03,4.11,1.78,0.41,12.59
"SOCIAL SCIENCES, GENERAL",15.36,13.87,12.91,10.82,9.07,7.7,6.14,4.32,2.58,1.19,0.3,7.15
SPACE SCIENCE,31.12,31.57,29.65,26.45,23.75,21.03,16.85,12.86,8.69,4.4,1.05,18.43
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,
