BASELINES-PERCENTILES,,,,,,,,,,,,
RESEARCH FIELDS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ALL YEARS
 ALL FIELDS,,,,,,,,,,,,
0.01%,2052,2090,1749,1470,1345,1006,820,572,374,164,45,1218
0.10%,693,635,593,505,432,348,286,205,134,64,17,396
1.00%,212,194,180,155,133,110,89,67,44,23,7,119
10.00%,55,52,48,42,37,31,26,20,13,7,2,30
20.00%,33,31,29,26,23,19,16,12,8,4,1,17
50.00%,12,11,10,9,8,7,6,5,3,2,1,5
AGRICULTURAL SCIENCES,,,,,,,,,,,,
0.01%,558,694,640,453,379,393,201,191,99,65,20,429
0.10%,308,316,294,248,183,154,112,87,53,28,10,192
1.00%,135,113,115,91,78,67,53,41,27,14,5,76
10.00%,44,40,37,33,29,25,21,16,11,5,2,24
20.00%,27,25,23,21,19,16,14,10,7,4,1,14
50.00%,9,9,8,8,7,6,5,4,3,1,1,4
BIOLOGY & BIOCHEMISTRY,,,,,,,,,,,,
0.01%,2331,5435,2979,1858,2844,1633,1355,1064,536,232,50,1721
0.10%,796,791,714,602,521,442,348,243,151,72,18,502
1.00%,267,244,216,181,156,130,101,74,47,24,7,149
10.00%,73,68,61,53,46,38,31,23,15,8,3,39
20.00%,46,43,39,34,29,25,20,15,10,5,2,23
50.00%,19,18,16,15,13,11,9,6,4,2,1,8
CHEMISTRY,,,,,,,,,,,,
0.01%,3112,2615,1872,1595,1756,1152,954,695,417,188,47,1412
0.10%,802,682,672,615,560,413,396,291,172,82,21,465
1.00%,215,202,192,187,163,137,115,89,57,30,8,136
10.00%,57,54,51,47,43,37,32,25,17,9,3,34
20.00%,34,33,31,29,27,23,20,16,11,6,2,20
50.00%,12,12,11,11,10,9,8,7,5,2,1,6
CLINICAL MEDICINE,,,,,,,,,,,,
0.01%,1938,2270,1985,1799,1709,1225,933,1083,592,240,67,1353
0.10%,731,696,596,488,469,360,308,226,158,75,17,418
1.00%,221,201,182,155,132,110,87,68,44,22,6,123
10.00%,59,54,49,43,37,31,25,19,12,6,2,31
20.00%,35,33,30,26,23,20,16,12,8,4,1,17
50.00%,13,12,11,10,9,8,6,5,3,2,1,5
COMPUTER SCIENCE,,,,,,,,,,,,
0.01%,2118,2117,1659,2968,1166,688,657,423,334,154,57,1038
0.10%,549,372,376,381,248,219,230,141,98,62,26,244
1.00%,125,108,105,93,78,73,64,48,35,19,7,69
10.00%,29,27,26,24,21,19,16,13,9,5,2,16
20.00%,17,16,15,14,12,11,10,8,6,3,1,9
50.00%,5,5,5,5,4,4,4,3,2,1,1,3
ECONOMICS & BUSINESS,,,,,,,,,,,,
0.01%,1042,901,1482,572,456,343,222,242,190,58,47,633
0.10%,554,409,354,280,220,164,137,87,54,29,9,258
1.00%,178,151,142,113,91,69,53,36,22,11,4,93
10.00%,47,43,38,33,26,22,17,12,8,4,2,22
20.00%,26,24,22,19,16,13,10,8,5,3,1,11
50.00%,8,7,7,6,5,5,4,3,2,1,1,3
ENGINEERING,,,,,,,,,,,,
0.01%,782,758,901,655,479,419,339,299,232,115,44,504
0.10%,336,309,307,256,207,175,140,114,85,48,18,203
1.00%,119,119,110,97,81,72,59,46,33,19,7,73
10.00%,35,35,33,30,27,24,20,16,11,6,2,20
20.00%,20,21,20,18,16,15,13,10,7,4,1,12
50.00%,6,7,7,6,6,5,5,4,3,2,1,3
ENVIRONMENT/ECOLOGY,,,,,,,,,,,,
0.01%,2226,1632,1739,1323,1556,860,521,410,214,94,22,993
0.10%,800,617,562,480,402,337,218,175,93,46,13,375
1.00%,244,216,194,165,144,111,88,63,39,19,6,120
10.00%,66,60,55,48,42,34,28,21,14,7,2,32
20.00%,41,38,34,30,26,22,18,14,9,5,2,18
50.00%,17,14,14,12,11,9,8,6,4,2,1,6
GEOSCIENCES,,,,,,,,,,,,
0.01%,1338,1777,1316,1141,639,685,502,494,195,93,32,923
0.10%,621,549,500,411,345,293,214,146,89,40,13,322
1.00%,198,185,154,143,122,103,77,55,36,18,6,111
10.00%,59,56,49,45,39,32,25,19,12,7,2,31
20.00%,37,36,32,29,25,21,17,13,8,4,2,18
50.00%,14,14,13,12,10,9,7,6,4,2,1,6
IMMUNOLOGY,,,,,,,,,,,,
0.01%,2549,2469,1526,1791,1257,1082,741,491,342,133,45,1373
0.10%,937,854,713,828,456,518,399,240,180,64,21,558
1.00%,330,302,265,217,185,159,131,90,59,29,8,177
10.00%,83,77,69,59,50,43,35,26,17,9,3,44
20.00%,51,48,43,37,32,27,22,16,11,6,2,26
50.00%,21,20,18,16,14,12,10,7,5,2,1,9
MATERIALS SCIENCE,,,,,,,,,,,,
0.01%,3729,2493,3463,1553,1469,1748,1021,803,483,193,51,1472
0.10%,869,774,955,722,615,494,426,283,177,89,22,504
1.00%,224,230,243,207,191,160,137,101,69,35,8,142
10.00%,52,52,52,48,44,38,34,28,19,10,3,32
20.00%,30,30,30,28,26,23,21,17,12,6,2,18
50.00%,10,10,10,10,9,8,8,6,4,2,1,5
MATHEMATICS,,,,,,,,,,,,
0.01%,976,932,635,501,246,218,155,148,69,64,30,392
0.10%,262,204,193,134,112,93,74,56,42,28,13,127
